Categoria;Arquivo;Extensão;Tamanho_bytes
08_Product_e_Design_System_Concepts;a_high_resolution_dark_themed_infographic_design.png;.png;1778810
08_Product_e_Design_System_Concepts;a_high_resolution_ui_ux_presentation_poster_dash.png;.png;1803341
08_Product_e_Design_System_Concepts;a_wide_high_resolution_infographic_dashboard_style.png;.png;2001740
09_Website_M1;a_clean_corporate_help_center_faq_web_page_scree.png;.png;1488921
09_Website_M1;a_clean_corporate_saas_landing_page_screenshot_in.png;.png;1500933
09_Website_M1;a_clean_dark_white_ui_design_presentation_image_sh.png;.png;1696016
09_Website_M1;a_clean_high_resolution_ui_design_wireframe_mock.png;.png;1574857
09_Website_M1;a_clean_modern_corporate_website_sobre_a_humanat.png;.png;1737367
09_Website_M1;a_clean_modern_saas_login_page_ui_screenshot_lik.png;.png;1546309
09_Website_M1;a_clean_modern_saas_product_landing_page_screensh.png;.png;1576116
09_Website_M1;a_clean_modern_website_contact_page_screenshot.png;.png;1553937
09_Website_M1;a_full_page_website_screenshot_clean_corporate_sa.png;.png;1708623
09_Website_M1;a_full_width_high_resolution_web_landing_page_scr.png;.png;1661091
09_Website_M1;a_high_resolution_dark_themed_marketing_landing_pa.png;.png;1645307
09_Website_M1;a_high_resolution_dark_ui_design_system_brand_gu.png;.png;1579766
09_Website_M1;a_high_resolution_screenshot_mockup_of_a_softwar.png;.png;1726213
09_Website_M1;a_high_resolution_screenshot_of_a_modern_saas_corp.png;.png;1656762
09_Website_M1;a_high_resolution_ui_dashboard_screenshot_mockup.png;.png;1631311
09_Website_M1;a_high_resolution_ui_ux_dashboard_screenshot_of_a.png;.png;1463546
09_Website_M1;a_high_resolution_website_app_product_landing_page.png;.png;1707493
09_Website_M1;a_high_resolution_website_landing_page_careers_p.png;.png;1802854
09_Website_M1;a_wide_clean_modern_website_landing_page_dashb.png;.png;1665938
10_Marketing_e_Social;Plano_Marketing_Humanati_2026.docx;.docx;57010
10_Marketing_e_Social;Post02_1x1.png;.png;1091266
10_Marketing_e_Social;Story02_9x16.png;.png;1333083
10_Marketing_e_Social;a_clean_corporate_marketing_image_mockup_in_two_fo.png;.png;1657534
10_Marketing_e_Social;a_clean_corporate_marketing_layout_presentation.png;.png;1845240
10_Marketing_e_Social;a_clean_corporate_marketing_social_media_post_la.png;.png;1757266
10_Marketing_e_Social;a_clean_high_resolution_marketing_brand_asset_she.png;.png;2009948
10_Marketing_e_Social;a_clean_high_tech_digital_marketing_ui_scene_s.png;.png;1806974
10_Marketing_e_Social;a_clean_marketing_campaign_layout_moodboard_post.png;.png;1925521
10_Marketing_e_Social;a_clean_modern_marketing_social_media_design_mock.png;.png;1684255
10_Marketing_e_Social;a_clean_professional_marketing_poster_social_me.png;.png;1823147
10_Marketing_e_Social;a_graphic_design_social_media_ad_poster_style_im.png;.png;1697637
10_Marketing_e_Social;a_high_quality_corporate_marketing_graphic_socia.png;.png;1652592
10_Marketing_e_Social;a_high_res_corporate_social_media_post_design_mock.png;.png;1702117
10_Marketing_e_Social;a_high_resolution_corporate_marketing_poster_inf.png;.png;1855992
10_Marketing_e_Social;a_highly_detailed_modern_corporate_tech_marketing.png;.png;1811188
10_Marketing_e_Social;a_tall_vertical_cinematic_tech_marketing_poster.png;.png;1955516
10_Marketing_e_Social;a_tall_vertical_corporate_marketing_poster_socia.png;.png;1624380
10_Marketing_e_Social;a_tall_vertical_digital_marketing_poster_infogra.png;.png;1627221
10_Marketing_e_Social;a_wide_high_resolution_ui_marketing_design_mockup.png;.png;1879560
11_Arquivos_Fonte_Recebidos;373422.png;.png;394514
11_Arquivos_Fonte_Recebidos;ChatGPT Image 1 de ago. de 2026, 15_28_00(1).png;.png;2433666
11_Arquivos_Fonte_Recebidos;ChatGPT Image 1 de ago. de 2026, 15_28_00.png;.png;2433666
11_Arquivos_Fonte_Recebidos;ChatGPT Image 1 de ago. de 2026, 18_56_29.png;.png;2080067
11_Arquivos_Fonte_Recebidos;b1991c37-6691-4fa7-a2a0-b0a39bf92e33.png;.png;1076
11_Arquivos_Fonte_Recebidos;d7761607-7640-4c33-81b1-e4fa9425dc3c.png;.png;619919
12_Outros_Artefatos_e_Variacoes;a_clean_corporate_branding_identity_presentation_s.png;.png;1525631
12_Outros_Artefatos_e_Variacoes;a_clean_flat_layout_mockup_composite_image_of_a_m.png;.png;1936314
12_Outros_Artefatos_e_Variacoes;a_clean_high_quality_corporate_brand_guideline.png;.png;1782351
12_Outros_Artefatos_e_Variacoes;a_clean_high_resolution_brand_guideline_identity.png;.png;1765698
12_Outros_Artefatos_e_Variacoes;a_clean_high_resolution_ui_design_presentation.png;.png;1832931
12_Outros_Artefatos_e_Variacoes;a_high_detail_cinematic_3d_render_photo_realist.png;.png;1926195
12_Outros_Artefatos_e_Variacoes;a_high_resolution_brand_identity_board_style_gui.png;.png;1778289
12_Outros_Artefatos_e_Variacoes;a_high_resolution_stylized_3d_cg_corporate_techno.png;.png;1675763
12_Outros_Artefatos_e_Variacoes;a_high_resolution_website_landing_page_screenshot.png;.png;1673015
12_Outros_Artefatos_e_Variacoes;a_high_tech_corporate_control_room_data_operatio.png;.png;1915814
12_Outros_Artefatos_e_Variacoes;a_high_tech_dark_blue_corporate_dashboard_market.png;.png;1777575
12_Outros_Artefatos_e_Variacoes;a_high_tech_futuristic_digital_illustration_3d_r.png;.png;1813693
12_Outros_Artefatos_e_Variacoes;a_high_tech_futuristic_office_tech_scene_rendered.png;.png;1676770
12_Outros_Artefatos_e_Variacoes;a_wide_clean_corporate_brand_guideline_identity_b.png;.png;1704861
12_Outros_Artefatos_e_Variacoes;a_wide_clean_modern_corporate_brand_guideline.png;.png;1905068
12_Outros_Artefatos_e_Variacoes;a_wide_dark_themed_corporate_brand_identity_board.png;.png;1743759
12_Outros_Artefatos_e_Variacoes;a_wide_high_resolution_ui_ux_design_presentation.png;.png;1872341
